Company,GVKEY,EXECID
ADC TELECOMMUNICATIONS INC,1013,10203
AMERICAN AIRLINES GROUP INC,1045,14591
PINNACLE WEST CAPITAL CORP,1075,10739
ABBOTT LABORATORIES,1078,14300
ADVANCED MICRO DEVICES,1161,20918
AETNA INC,1177,14660
AIR PRODUCTS & CHEMICALS INC,1209,12121
ALASKA AIR GROUP INC,1230,14871
ALLEGHENY ENERGY INC,1279,5899
HONEYWELL INTERNATIONAL INC,1300,20931
ALLTEL CORP,1318,12422
SKYWORKS SOLUTIONS INC,1327,17260
ALCOA INC,1356,1510
HESS CORP,1380,2132
BEAM INC,1408,18590
AMERICAN ELECTRIC POWER CO,1440,5366
AMERICAN EXPRESS CO,1447,2157
AFLAC INC,1449,13
WYETH,1478,14543
AMERICAN INTERNATIONAL GROUP,1487,26441
TRANE INC,1567,1768
AMETEK INC,1598,4252
AMGEN INC,1602,1542
ANALOG DEVICES,1632,3976
NABORS INDUSTRIES LTD,1661,4037
ANHEUSER-BUSCH COS INC,1663,23054
APACHE CORP,1678,3994
APPLE INC,1690,14302
APPLIED MATERIALS INC,1704,25876
ARCHER-DANIELS-MIDLAND CO,1722,24742
ASHLAND GLOBAL HOLDINGS INC,1794,20400
SOUTHERN CO GAS,1837,12438
AUTODESK INC,1878,24798
AUTOMATIC DATA PROCESSING,1891,2385
AVERY DENNISON CORP,1913,18509
AVON PRODUCTS,1920,14570
BAKER HUGHES INC,1976,24905
BALL CORP,1988,10850
CONSTELLATION ENERGY GRP INC,1995,6462
BANK OF NEW YORK MELLON CORP,2019,24419
BARD (C.R.) INC,2044,10441
BAXTER INTERNATIONAL INC,2086,14299
BECTON DICKINSON & CO,2111,10110
VERIZON COMMUNICATIONS INC,2136,1131
BEMIS CO INC,2154,2539
BERKSHIRE HATHAWAY,2176,125
BEST BUY CO INC,2184,6175
BIOMET INC,2230,32128
BLACK & DECKER CORP,2255,134
BLOCK H & R INC,2269,17274
VALARIS PLC,2270,31080
BOEING CO,2285,23288
OFFICEMAX INC,2290,15349
ROBERT HALF INTL INC,2312,12308
BRISTOL-MYERS SQUIBB CO,2403,2774
BROWN FORMAN CORP,2435,27109
BRUNSWICK CORP,2444,14479
BURLINGTON NORTHERN SANTA FE,2490,16288
UNISYS CORP,2504,18654
CIGNA CORP,2547,10499
CSX CORP,2574,23192
CAMPBELL SOUP CO,2663,12560
CONSTELLATION BRANDS,2710,13570
CARDINAL HEALTH INC,2751,20200
PROGRESS ENERGY INC,2783,16729
CATERPILLAR INC,2817,10422
CENTEX CORP,2845,3852
CENTURYLINK INC,2884,190
JPMORGAN CHASE & CO,2968,3766
CHEVRON CORP,2991,14687
CHUBB CORP,3024,21503
