GVKEY,Company
1013,ADC TELECOMMUNICATIONS
1075,PINNACLE WEST CAPITAL
1318,ALLTEL CORP
1661,NABORS INDUSTRIES LTD
1794,ASHLAND GLOBAL HOLDINGS
2504,UNISYS CORP
2574,CSX CORP
3054,CIRCUIT CITY STORES
4494,EXPEDITORS WASH
4601,FEDERAL NATIONAL MORTGA ASSN
4605,FEDERAL REALTY INVESTMENT TR
4737,FIRST HORIZON NATIONAL
5543,WELLTOWER INC
5667,HOLLYFRONTIER CORP
6066,INTL BUSINESS MACHINES
6078,INTL FLAVORS & FRAGRANCES
7065,MARSH & MCLENNANS
7067,MARSHALL & ILSLEY
7085,MASCO CORP
7186,MEDCO HEALTH SOLUTIONS
7506,MOLEX INC
7904,NICOR INC
8151,ONEOK INC
8253,PACCAR INC
8358,PARKER HANNIFIN CORP
8463,PENTAIR PLC
9217,ROHM AND HAAS
9258,ROWANMPANIES
9351,SAFECO CORP
9445,SCANA CORP
10426,TEMPLE INLAND INC
10453,TERADYNE INC
10507,ENERGY FUTURE HOLDINGS
11220,VORNADO REALTY TRUST
11446,MEADWESTVACO CORP
11456,WEYERHAEUSER CO
11555,INTEGRYS HOLDING
11687,ZIONS BANCORPORATION NA
11818,BEAR STEARNSMPANIES
12053,EMC CORP/MA
12233,GENZYME CORP
12950,AIRGAS INC
13125,HEALTHPEAK PROPERTIES
13341,PROGRESSIVE CORP OHIO
13365,BARR PHARMACEUTICALS
13498,CARNIVALORATION &
13721,ZOETIS INC
14256,MAXIM INTEGRATED PRODUCTS
14324,ALTERA CORP
14960,LABORATORY CP OF AMER HLDGS
16245,PEOPLE'S UNITED FINL
16784,COMMERCE BANCORP/NJ
17130,SANTANDER HOLDINGS USA
17928,IQVIA HOLDINGS
18086,MALLINCKRODT PLC
20653,DENBURY RESOURCES
22140,ALLIED WASTE INDUSTRIES
22734,BAXALTA INC
23943,PMC SIERRA INC
23945,CEPHALON INC
24287,AMBAC FINANCIAL
24379,MGIC INVESTMENT/WI
24925,ROPER TECHNOLOGIES
25283,KOHL'S CORP
26011,COMPUWARE CORP
26410,FOURRNERS PROPERTY TR
27119,INGEVITY CORP
28070,ADVANSIX INC
28119,BROOKFIELD PROPERTY REIT
28790,LAMB WESTON HOLDINGS
29127,INCYTE CORP
29649,MID AMERICA APT CMNTYS
29791,QLOGIC CORP
29819,BIOVERATIV INC
29830,WESTROCK CO
29875,AVALONBAYMMUNITIES
29968,AK STEEL HOLDING
29984,PROLOGIS INC
30128,LEHMAN BROTHERS HOLDINGS
30490,APARTMENT INVST & MGMT
30697,AFFILIATEDMPUTER SERVICES
30822,REALTYOME
30923,TECHNIPFMC PLC
32154,JBG SMITH PPTYS
60992,SUNEDISON INC
61388,EVEREST RE LTD
61409,DIAMOND OFFSHRE DRILLING
61489,QWESTMMUNICATION
63800,IMS HEALTH HOLDINGS
64356,CIENA CORP
64821,ALEXANDRIA R E EQUITIES
100243,AMCOR PLC
120093,CNX RESOURCESORATION
121382,SBAMMUNICATIONS
122015,HUDSON CITY BANCORP
145552,CENTENE CORP
148349,TRANSDIGM
154357,QEP RESOURCES
157057,ASSURANT INC
158742,MARKETAXESS HOLDINGS
160255,HOSPIRA INC
160256,METROPCSMMUNICATIONS
163946,CF INDUSTRIES HOLDINGS
165123,LEIDOS HOLDINGS
170750,DIAMONDBACK ENERGY
176928,BROADRIDGE FINANCIAL SOLUTNS
177264,COVIDIEN PLC
183257,CAREFUSION CORP
184700,FLEETCOR TECHNOLOGIES
186106,MOTOROLA MOBILITY HLDGS
186310,HUNTINGTON INGALLS IND
187128,WPX ENERGY
188255,FORTUNE BRANDS HOME & SECUR
198058,CAPRI HOLDINGS LTD
294524,LYONDELLBASELL INDUSTRIES NV
