GVKEY,Company
1013,ADC TELECOMMUNICATIONS INC
1075,PINNACLE WEST CAPITAL CORP
1318,ALLTEL CORP
1449,AFLAC INC
1661,NABORS INDUSTRIES LTD
1663,ANHEUSER-BUSCH COS INC
1794,ASHLAND GLOBAL HOLDINGS INC
2504,UNISYS CORP
2547,CIGNA CORP
2574,CSX CORP
2884,CENTURYLINK INC
3054,CIRCUIT CITY STORES INC
3505,MOLSON COORS BEVERAGE CO
3964,DILLARDS INC  -CL A
4494,EXPEDITORS INTL WASH INC
4601,FEDERAL NATIONAL MORTGA ASSN
4605,FEDERAL REALTY INVESTMENT TR
4737,FIRST HORIZON NATIONAL CORP
5543,WELLTOWER INC
5667,HOLLYFRONTIER CORP
5723,STARWOOD HOTELS&RESORTS WRLD
5783,HUNT (JB) TRANSPRT SVCS INC
6066,INTL BUSINESS MACHINES CORP
6078,INTL FLAVORS & FRAGRANCES
6136,INTERPUBLIC GROUP OF COS
6268,JOHNSON CONTROLS INTL PLC
6304,KLA CORP
7065,MARSH & MCLENNAN COS
7067,MARSHALL & ILSLEY CORP
7085,MASCO CORP
7186,MEDCO HEALTH SOLUTIONS INC
7366,ENTERGY CORP
7506,MOLEX INC
7648,NCR CORP
7904,NICOR INC
8151,ONEOK INC
8253,PACCAR INC
8358,PARKER-HANNIFIN CORP
8463,PENTAIR PLC
8810,PUBLIC SERVICE ENTRP GRP INC
9217,ROHM AND HAAS CO
9258,ROWAN COMPANIES PLC
9351,SAFECO CORP
9445,SCANA CORP
9699,SIGMA-ALDRICH CORP
10121,NAVIENT CORP
10190,SUPERVALU INC
10426,TEMPLE-INLAND INC
10453,TERADYNE INC
10507,ENERGY FUTURE HOLDINGS CORP
10795,UNITED AIRLINES HOLDINGS INC
11220,VORNADO REALTY TRUST
11446,MEADWESTVACO CORP
11456,WEYERHAEUSER CO
11555,INTEGRYS HOLDING INC
11636,XEROX HOLDINGS CORP
11687,ZIONS BANCORPORATION NA
11818,BEAR STEARNS COMPANIES INC
12053,EMC CORP/MA
12233,GENZYME CORP
12788,HARMAN INTERNATIONAL INDS
12950,AIRGAS INC
13125,HEALTHPEAK PROPERTIES INC
13341,PROGRESSIVE CORP-OHIO
13365,BARR PHARMACEUTICALS INC
13440,LEVEL 3 COMMUNICATIONS INC
13498,CARNIVAL CORPORATION & PLC
13721,ZOETIS INC
14256,MAXIM INTEGRATED PRODUCTS
14324,ALTERA CORP
14960,LABORATORY CP OF AMER HLDGS
15208,FEDERAL HOME LOAN MORTG CORP
16245,PEOPLE'S UNITED FINL INC
16784,COMMERCE BANCORP INC/NJ
17130,SANTANDER HOLDINGS USA INC
17928,IQVIA HOLDINGS INC
18086,MALLINCKRODT PLC
20653,DENBURY RESOURCES INC
22140,ALLIED WASTE INDUSTRIES INC
22734,BAXALTA INC
23943,PMC-SIERRA INC
23945,CEPHALON INC
24287,AMBAC FINANCIAL GROUP INC
24379,MGIC INVESTMENT CORP/WI
24925,ROPER TECHNOLOGIES INC
25283,KOHL'S CORP
26011,COMPUWARE CORP
26410,FOUR CORNERS PROPERTY TR INC
27119,INGEVITY CORP
28070,ADVANSIX INC
28119,BROOKFIELD PROPERTY REIT
28648,PETSMART INC
28790,LAMB WESTON HOLDINGS INC
29127,INCYTE CORP
29155,CARS.COM INC
29649,MID-AMERICA APT CMNTYS INC
29791,QLOGIC CORP
29819,BIOVERATIV INC
29830,WESTROCK CO
29875,AVALONBAY COMMUNITIES INC
29968,AK STEEL HOLDING CORP
29984,PROLOGIS INC
30128,LEHMAN BROTHERS HOLDINGS INC
30490,APARTMENT INVST & MGMT CO
30697,AFFILIATED COMPUTER SERVICES
30822,REALTY INCOME CORP
30923,TECHNIPFMC PLC
31774,BRIGHTHOUSE FINANL INC
32154,JBG SMITH PPTYS
33326,CHAMPIONX CORP
60992,SUNEDISON INC
61388,EVEREST RE GROUP LTD
61409,DIAMOND OFFSHRE DRILLING INC
61489,QWEST COMMUNICATION INTL INC
61513,SANDISK CORP
63669,UNIVISION COMMUNICATIONS INC
63800,IMS HEALTH HOLDINGS INC
64356,CIENA CORP
64630,TAKE-TWO INTERACTIVE SFTWR
64821,ALEXANDRIA R E EQUITIES INC
66708,BROADCOM CORP
100243,AMCOR PLC
104432,NORWEGIAN CRUISE LINE HLDGS
120093,CNX RESOURCES CORPORATION
121382,SBA COMMUNICATIONS CORP
122015,HUDSON CITY BANCORP INC
126136,CHARTER COMMUNICATIONS INC
133768,METLIFE INC
135484,FRONTIER COMMUNICATIONS CORP
145552,CENTENE CORP
148349,TRANSDIGM GROUP INC
149318,WYNN RESORTS LTD
154357,QEP RESOURCES INC
157057,ASSURANT INC
158742,MARKETAXESS HOLDINGS INC
160255,HOSPIRA INC
160256,METROPCS COMMUNICATIONS INC
163946,CF INDUSTRIES HOLDINGS INC
165123,LEIDOS HOLDINGS INC
165993,FIDELITY NATIONAL INFO SVCS
170750,DIAMONDBACK ENERGY INC
174130,EMBARQ CORP
176928,BROADRIDGE FINANCIAL SOLUTNS
177264,COVIDIEN PLC
177267,TE CONNECTIVITY LTD
183257,CAREFUSION CORP
184700,FLEETCOR TECHNOLOGIES INC
186106,MOTOROLA MOBILITY HLDGS INC
186310,HUNTINGTON INGALLS IND INC
187128,WPX ENERGY INC
188255,FORTUNE BRANDS HOME & SECUR
198058,CAPRI HOLDINGS LTD
294524,LYONDELLBASELL INDUSTRIES NV
