CEO Name,Company,GVKEY,EXECID,YEAR,trimmed_company_name,Company_Handles,small_username,id,name,username,bio,location,url,join_date,join_time,tweets,following,followers,likes,media,private,verified,profile_image_url,background_image
Gerard J. Arpey,AMERICAN AIRLINES GROUP INC,1045,14591,2007,american airlines group,americanair,americanair,22536055,americanair,AmericanAir,"Official Twitter for the world’s largest airline. We’re here for you 24/7. For more about us or a formal response, visit https://t.co/6GJxuwPp4T.",,https://t.co/v79AIk0AA1,02-03-2009,21:23:05 UTC,2283208,106034,1607939,4989,2233,FALSE,TRUE,https://pbs.twimg.com/profile_images/1278300677073260547/D4gW9RIh_normal.jpg,https://pbs.twimg.com/profile_banners/22536055/1594672091
"Miles D. White, M.B.A.",ABBOTT LABORATORIES,1078,14300,2007,abbott laboratories,abbottglobal,abbottglobal,1934702336,Abbott,AbbottGlobal,"The @AbbottGlobal Twitter page was discontinued on Nov 30, 2020. Follow @AbbottNews for all news and updates moving forward.
TOU: https://t.co/uV6KKpRHLr","Abbott Park, Illinois",http://t.co/UBghHfSbiA,04-10-2013,16:08:08 UTC,5946,3039,35200,6872,2085,FALSE,TRUE,https://pbs.twimg.com/profile_images/1278315947774947328/Iu9eiA-S_normal.png,https://pbs.twimg.com/profile_banners/1934702336/1593609247
Hector de Jesus Ruiz,ADVANCED MICRO DEVICES,1161,20918,2007,advanced micro devices,amd,amd,14861876,AMD,AMD,Official corporate news about the AMD technology enabling today and inspiring tomorrow.,"Austin, TX",https://t.co/MxedQNir9p,21-05-2008,22:14:12 UTC,8930,256,965264,8965,1879,FALSE,TRUE,https://pbs.twimg.com/profile_images/1159963580319567872/FYwjYWG5_normal.jpg,https://pbs.twimg.com/profile_banners/14861876/1582052655
Ronald Allan Williams,AETNA INC,1177,14660,2007,aetna,aetna,aetna,,,,,,,,,,,,,,,TRUE,,
"John P. Jones, III",AIR PRODUCTS & CHEMICALS INC,1209,12121,2007,air products & chemicals,AirProducts,airproducts,109634966,Air Products,airproducts,"Industry-leading company of 19,000+ dedicated employees innovating toward a more #sustainable future with #industrialgas solutions & cutting-edge technology.",Worldwide,http://t.co/aFIbosFj9B,29-01-2010,18:52:02 UTC,3806,550,11374,278,925,FALSE,TRUE,https://pbs.twimg.com/profile_images/1337395927108227075/soJ-KmY0_normal.jpg,https://pbs.twimg.com/profile_banners/109634966/1607718790
William S. Ayer,ALASKA AIR GROUP INC,1230,14871,2007,alaska air group,alaskaair,alaskaair,13192972,Alaska Airlines,AlaskaAir,We’ve now reached tweeting altitude. ✈️ Our Social Care team is here 24/7. For a formal response: https://t.co/gu9m8EggyQ #iFlyAlaska,"Seattle, WA",https://t.co/gVPAjfAaOy,07-02-2008,05:17:36 UTC,336060,6004,382352,28205,4100,FALSE,TRUE,https://pbs.twimg.com/profile_images/1278879278126387201/ww2Hm1rB_normal.jpg,https://pbs.twimg.com/profile_banners/13192972/1604351190
David M. Cote,HONEYWELL INTERNATIONAL INC,1300,20931,2007,honeywell international,honeywell,honeywell,64764487,Honeywell,honeywell,"At #Honeywell, we're transforming the way the world works. #futureshaper","Charlotte, North Carolina",https://t.co/vUvlf7oarp,11-08-2009,16:53:16 UTC,3346,322,58550,4710,614,FALSE,TRUE,https://pbs.twimg.com/profile_images/746373313698603008/pxHBeDZv_normal.jpg,https://pbs.twimg.com/profile_banners/64764487/1576504928
Alain Juan Pablo Belda,ALCOA INC,1356,1510,2007,alcoa,Alcoa,alcoa,15085627,Alcoa,Alcoa,"Alcoa is a global industry leader in bauxite, alumina and aluminum products, with a strong portfolio of cast and rolled products and substantial energy assets.", NYSE: AA,https://t.co/cSh5OBBc51,11-06-2008,15:24:02 UTC,6660,5180,27585,3041,1562,FALSE,TRUE,https://pbs.twimg.com/profile_images/793218199911297024/2kcTpGjj_normal.jpg,https://pbs.twimg.com/profile_banners/15085627/1477952967
John B. Hess,HESS CORP,1380,2132,2007,hess corp,realsandrahess,realsandrahess,437985503,Sandra Hess,realsandrahess,"Actor, wife, mom to 4 amazing furries and wanna be gourmet chef. Mortal Kombat, Pensacola Wings Of Gold, Highlander, Nick Fury Agent Of Shield ....",,https://t.co/Ll7gumShh7,16-12-2011,02:12:19 UTC,2750,356,6645,1291,318,FALSE,TRUE,https://pbs.twimg.com/profile_images/753835128699260929/qG4wV1u6_normal.jpg,https://pbs.twimg.com/profile_banners/437985503/1363670269
Norman H. Wesley,BEAM INC,1408,18590,2007,beam inc,beamng,beamng,585833658,BeamNG,beamng,Bringing soft-body physics to the forefront,,http://t.co/XpnT7qRodf,20-05-2012,15:29:17 UTC,1749,43,12550,462,246,FALSE,TRUE,https://pbs.twimg.com/profile_images/529611246148919299/28T9-sg4_normal.png,https://pbs.twimg.com/profile_banners/585833658/1447781815
Kenneth I. Chenault,AMERICAN EXPRESS CO,1447,2157,2007,american express,americanexpress,americanexpress,42712551,American Express,AmericanExpress,"Follow Amex's Erica (^E) & Alicia (^A) for insider news, access & more.",Community Guidelines,https://t.co/a2NnA4SGyV,26-05-2009,20:32:45 UTC,68476,18536,860065,41,6204,FALSE,TRUE,https://pbs.twimg.com/profile_images/983285404253196288/rx3n00Ep_normal.jpg,https://pbs.twimg.com/profile_banners/42712551/1585166874
Daniel Paul Amos,AFLAC INC,1449,13,2007,aflac inc,Aflac,aflac,23797083,Aflac,aflac,"Ready to talk coverage? Send us a Tweet.
Need assistance? @AflacHelpDesk
https://t.co/0Frz1xBTI2",,https://t.co/0Frz1xBTI2,11-03-2009,17:41:01 UTC,7945,728,61746,2155,1256,FALSE,TRUE,https://pbs.twimg.com/profile_images/1168921769215975427/9HtgkZck_normal.png,https://pbs.twimg.com/profile_banners/23797083/1608417135
Martin John Sullivan,AMERICAN INTERNATIONAL GROUP,1487,26441,2007,american international group,AIGinsurance,aiginsurance,126118683,AIG,AIGinsurance,"Global insurance company committed to preparing our clients for what's next. For service, tweet us! 👋  Our Community Guidelines: https://t.co/7bcUQ3GZsV",Worldwide,http://t.co/1Q1cbaVvyn,24-03-2010,22:10:39 UTC,6537,267,42448,681,1917,FALSE,TRUE,https://pbs.twimg.com/profile_images/1192132011185655809/ZajiTWMb_normal.jpg,https://pbs.twimg.com/profile_banners/126118683/1600799000
Kevin W. Sharer,AMGEN INC,1602,1542,2007,amgen ,amgen,amgen,28436760,Amgen,Amgen,Patients. They're why we develop and manufacture innovative human therapeutics to treat serious diseases. #WeareBiotech Community Guidelines: https://t.co/fo1laM9PxA,"Thousand Oaks, CA, USA",https://t.co/Xj8YsWFIRy,02-04-2009,22:32:57 UTC,9884,344,96125,1450,2524,FALSE,TRUE,https://pbs.twimg.com/profile_images/1340003269012123648/j4ObZeKE_normal.jpg,https://pbs.twimg.com/profile_banners/28436760/1605763610
