,GVKEY,Company,trimmed_company_name,Company_Handles,name,bio,join_date,tweets,following,followers,likes,media,private,verified
189,12151,COTY INC,coty,cotyinc,Coty Inc.,We celebrate and liberate the diversity of your beauty.,06-01-2012,831.0,536.0,6043.0,174.0,294.0,False,True
190,12206,DIRECTV,directv,directv,DIRECTV,ATT/DIRECTV is ranked #1 in Nationally in Customer Satisfaction for TV Service by @jdpower. Tied in 2020. Visit https://t.co/xF1RXnjVzM for more information,29-05-2008,84804.0,1746.0,255191.0,8061.0,7696.0,False,True
191,12389,HARLEY-DAVIDSON INC,harley-davidson,harleydavidson,Harley-Davidson,The official Twitter feed for the Harley-Davidson Motor Company. #HarleyDavidson,04-11-2008,16818.0,1440.0,450500.0,6756.0,6773.0,False,True
192,12441,GARTNER INC,gartner,gartner_inc,Gartner,"We’re here to help: View our insights, advice and tools to achieve your mission-critical priorities below.",25-06-2008,27742.0,49926.0,407043.0,5717.0,7376.0,False,True
193,12540,ADOBE INC,adobe,Adobe,Adobe,Creativity doesn’t just open doors. It opens worlds. Join us in celebrating #CreativityForAll. Need help? Reach out to @AdobeCare.,07-08-2009,41306.0,213.0,685816.0,13755.0,10645.0,False,True
194,12635,FISERV INC,fiserv,Fiserv,Fiserv,Fiserv (NASDAQ: FISV) is a leading global technology provider serving the financial services industry.,31-12-2008,10652.0,1292.0,21952.0,2636.0,1999.0,False,True
195,12689,KB HOME,kb home,kbhome,KB Home,KB Home. Built on Relationships. #KBHome,14-11-2008,9146.0,6378.0,17638.0,2560.0,4348.0,False,True
196,12756,COCA-COLA EUROPEAN PARTNERS,coca-cola european partners,cocacolaep,Coca-Cola EP,"Official tweets from Coca-Cola European Partners (CCEP) the world’s largest independent Coca-Cola bottler, based on net sales.",01-12-2008,4463.0,678.0,8791.0,2721.0,1485.0,False,True
197,12788,HARMAN INTERNATIONAL INDS,harman international inds,harman,HARMAN,We engineer solutions to enhance life’s experiences and simplify the way people interact with technology that connects them to the world. #HARMANConnectsMe,02-03-2009,5058.0,762.0,21411.0,4167.0,2158.0,False,True
198,12850,CERNER CORP,cerner,cerner,Cerner,We work at the intersection of health care and information technology to relentlessly seek breakthrough innovation that will shape health care of tomorrow.,23-04-2009,21774.0,1979.0,43577.0,9850.0,2565.0,False,True
199,12978,KRAFT FOODS GROUP INC,kraft foods group,KraftHeinzCo,The Kraft Heinz Company,News & information from #HereAtKraftHeinz,16-02-2010,2336.0,57.0,19369.0,1146.0,147.0,False,True
200,13440,LEVEL 3 COMMUNICATIONS INC,level 3mmunications,Level3,CenturyLink (formerly Level 3),Level 3 is now @CenturyLink. Please follow us there or visit https://t.co/w0vAwsrB2l to learn more.,06-01-2010,8532.0,2509.0,26916.0,1416.0,459.0,True,True
201,13646,TIFFANY & CO,tiffany &,TiffanyAndCo,Tiffany & Co.,"TIFFANY & CO.—founded in New York City in 1837—is synonymous with superlative diamonds, innovative jewelry design and expert craftsmanship.",18-11-2009,15881.0,123.0,1633901.0,1403.0,4105.0,False,True
202,13714,VIACOMCBS INC,viacomcbs,ViacomCBS,ViacomCBS,We are a global media and entertainment company creating premium content and experiences for audiences in 180+ countries.,15-01-2009,7247.0,718.0,185514.0,6003.0,1773.0,False,True
203,13988,SCHWAB (CHARLES) CORP,schwab (charles),charlesschwab,Charles Schwab Corp,Be a more informed investor. Follow us for news and insights to help you #Ownyourtomorrow. Disclosures: https://t.co/nswxFWPqQc,13-04-2010,22619.0,739.0,106389.0,3722.0,3846.0,False,True
204,14225,FASTENAL CO,fastenal,fastenalcompany,Fastenal Company,#Fastenal is a business-to-business supply chain solutions company and a wholesale distributor of industrial and construction supplies. #WeAreWhereYouAre,28-01-2010,5217.0,304.0,12519.0,2749.0,2098.0,False,True
