Company,Handle,Twitter_Descr,verified
american airlines group,AmericanAir,"Official Twitter for the world’s largest airline. We’re here for you 24/7. For more about us or a formal response, visit https://t.co/6GJxuwPp4T.",True
american airlines group,LATAMAirlines,Bienvenido a la cuenta oficial de LATAM Airlines | Bem-vindo à conta oficial da LATAM Airlines | Welcome to the official account of LATAM Airlines.,True
abbott laboratories,AbbottNews,"This is technology at its most personal, to help you live your best, healthiest life. #lifetothefullest https://t.co/6IcXSYxpuw",True
advanced micro devices,AMD,Official corporate news about the AMD technology enabling today and inspiring tomorrow.,True
advanced micro devices,AMDGaming,"Dedicated to gamers, esports, developers & the gaming industry for the best possible PC gaming experience.",True
advanced micro devices,AMD_UK,"The latest updates from AMD UK – leading the next era of vivid digital experiences, graphics, embedded and server technology",True
aetna,Aetna,"Every day, as part of @CVSHealth, we join you to help you on your path to better health🏃‍♀️🚴‍♂️🏊‍♂️ #CommunityHeart",True
aetna,AetnaHelp,"We are your official Aetna Customer Service Twitter reps, here to help, listen and learn from you. Tweet with us 24 hours a day, 7 days a week.",True
aetna,AetnaNews,"Building a healthier world & discussing the future of #healthcare.  Sharing news, opinions & more from @Aetna, a @CVSHealth Company. https://t.co/4YdLe9hfhO",True
aetna,crackliffe,"Social&editorial content @aetna. Thoughts=mine. Here to #empower & entertain you. Check out my new #selfhelp book, It's Good to See Me Again, on Amazon👇🏻",True
aetna,Chris_Ciano,"Head of Medicare at @Aetna. An advocate for the aging population, passionate about simplifying health care & helping Medicare members achieve their best health.",True
aetna,h_sheinberg,Copywriter @Aetna. Former editor @NatGeoTravel. Doughnut enthusiast.,True
air products & chemicals,airproducts,"Industry-leading company of 19,000+ dedicated employees innovating toward a more #sustainable future with #industrialgas solutions & cutting-edge technology.",True
alaska air group,RavnAlaska,"Ravn Air Group conditionally approved to move forward for #CARESAct grants, files motion for sale process. Read more at https://t.co/tUPNZeR1FY.",True
honeywell international,honeywell,"At #Honeywell, we're transforming the way the world works. #futureshaper",True
alcoa,Alcoa,"Alcoa is a global industry leader in bauxite, alumina and aluminum products, with a strong portfolio of cast and rolled products and substantial energy assets.",True
alcoa,alcoatheband,Not funny - Derek. Split 7-inch with @ChoirVandalsSTL & 'Parlour Tricks' out now on @Bridge9,True
alcoa,AlcoaFoundation,We focus our giving on #sustainability #biodiversity #climatechange #environment in @Alcoa communities around the globe,True
american electric power,AEPnews,"The Official AEP account for latest news, info & updates from American Electric Power. We're here from 8 am-11 pm Mon-Fri & 8-5 weekends and holidays.",True
american express,AmericanExpress,"Follow Amex's Erica (^E) & Alicia (^A) for insider news, access & more.",True
american express,AmexUK,"Follow the Amex UK team for insider news, offers & more. We’re also at @AskAmexUK for any help you may need.",True
american express,AmexBusiness,"With the powerful backing to keep you moving forward, American Express is here to help you get business done. #AmexBusiness",True
american express,AskAmex,"Amex Customer Care, at your service! We’re here M-F, 9am-10pm ET. Remember: Please don’t tweet personal information. After hours? Visit https://t.co/mOVXblqhkU",True
american express,AmexBusinessCan,"With the powerful backing to keep you moving forward, American Express Canada is here to help you get business done. #AmexBusiness",True
american express,theamexgolf,"4 Days of PGA TOUR Golf in the heart of Coachella Valley | January 20-24, 2021 | #TheAmexGolf",True
american express,AmexBusinessUK,"Exclusively for businesses, we’re here with insights, tips and solutions to help support your growth. @AskAmexUK for all customer enquiries.",True
american express,aafexpress,🏈 Alliance of American Football Official Account of the Memphis Express #AllAboard✈️ | NEXT 🏠 GAME: 4/13,True
american express,BSTHydePark,"American Express presents BST Hyde Park brings you 10 days of music & entertainment, with legendary headliners & support from today's rising stars...",True
american express,AmexNL,"American Express is een wereldwijde dienstverlener die haar klanten toegang biedt tot exclusieve producten, inzichten en ervaringen.",True
american express,KabbageInc,"An American Express company, empowering #SmallBusiness owners to manage their #CashFlow. For PPP assistance, please visit https://t.co/kIWYzbdA3B (@KServicing)",True
american express,amex_express_mx,"Solicita tu Tarjeta American Express, obtén beneficios y comienza la aventura. No vivas la vida sin ella. #AmexLife

Atención a clientes: 800 504 0400",True
american international group,AIGinsurance,"Global insurance company committed to preparing our clients for what's next. For service, tweet us! 👋  Our Community Guidelines: https://t.co/7bcUQ3GZsV",True
american international group,ralphsantana,"Global CMO of @HARMAN. Father, husband & American History aficionado. Passionate about diversity, the marketing landscape  & my team who brings it all to life.",True
amgen ,Amgen,Patients. They're why we develop and manufacture innovative human therapeutics to treat serious diseases. Community Guidelines: https://t.co/0txZKKMAVg,True
amgen ,AmgenOncology,Advancing oncology at the speed of life™. Tweets intended for U.S. audience. See our Community Guidelines: https://t.co/C5ckNbU9RL.,True
amgen ,AmgenTOC,America's Greatest Race #AmgenTOC,True
amgen ,AmgenFoundation,"The Amgen Foundation seeks to advance science education to inspire the next generation, & invests in communities. Community guidelines: https://t.co/C5ckNbU9RL",True
amgen ,AmgenBiosim,We’re committed to offering patients broad access to medicines. Follow us to better understand biosimilars. (Community Guidelines: https://t.co/C5ckNcbLgl),True
amgen ,AmgenGermany,"Unsere Mission: Patienten helfen. Wir nutzen #Biotechnologie, um schwere Krankheiten zu behandeln. Unsere Community Guidelines: https://t.co/R9tHgRkYfW",True
amgen ,AmgenSpain,Comprometidos con descubrir el potencial de la biotecnología para pacientes con enfermedades graves desarrollando terapias innovadoras. https://t.co/LGOvjaFuAC,True
amgen ,AmgenFrance,"Grâce à la biologie, nous innovons pour la santé des patients atteints de maladies graves. #WeAreBiotech 🧬 https://t.co/PdxNjL6V2D",True
anheuser-busch,AnheuserBusch,"America’s best-loved brewery, making stronger communities & meaningful moments. 🍺 Enjoy responsibly. Content & sharing for 21+. ©2021 https://t.co/Lf2DcpQ9ft",True
anheuser-busch,abinbev,Bringing people together for a better world 🍻 Please do not share this page or its content to anyone underage. Enjoy responsibly. https://t.co/M5LyhyKFEW,True
anheuser-busch,ABCustomerCare,"Official Twitter page for @AnheuserBusch customer care. Monitoring daily 8a-10p CST. Support is also available at 1-800-DIAL-BUD, Mon-Fri, 11a-8p CST.",True
anheuser-busch,SocialClub,21+ Only & only share with those who are of legal age. Enjoy Responsibly. © 2020 Anheuser-Busch. https://t.co/VjUtpYw1Xf,True
anheuser-busch,Busch_Jobs,Follow us to learn more about Anheuser-Busch & to stay up-to-date on current #job opportunities! Cheers!,True
apple,Apple,https://t.co/jw2s2L0RLt,True
apple,AppleTV,Watch Apple TV+ on the Apple TV app. Original stories from the most creative minds in TV and film. New episodes Fridays.,True
apple,pschiller,"Apple Fellow, Illumina, Boston College, Bowdoin, Sports Cars, Marine Science, Scuba, Drums, Photography, Prog Rock fan. (PSA: I block haters)",True
apple,AngelaAhrendts,"Former SVP Apple Retail, CEO Burberry.  Currently loving wife, mom, daughter, friend.  Inspired by great brands & people making a great impact.",True
apple,AppleArcade,"100+ games you can play across iPhone, iPad, Mac, and Apple TV.",True
apple,AppleMusic,#BlackLivesMatter,True
apple,AppleSupport,"We’re here to provide tips, tricks and helpful information when you need it most. We’re available every day to answer your questions, from 5am-8pm Pacific.",True
apple,BoysStateMovie,Watch now exclusively on Apple TV+,True
apple,AppleNews,"The world of news and magazines, in your hand. Stories selected by our U.S. editors.
https://t.co/thYoYWpyoi",True
apple,SheivaYazdani,"Games Marketing @AppleArcade | Previously @GameSpot & @LimbicSoftware | Gamer, cosplayer, and low-key Twitch streamer | https://t.co/DAnJoA5k5R",True
