CEO Name,Company,GVKEY,EXECID,YEAR,input_company_name
Robert E. Switz,ADC TELECOMMUNICATIONS INC,1013,10203,2007,adc telecommunications
Gerard J. Arpey,AMERICAN AIRLINES GROUP INC,1045,14591,2007,american airlines group
William Joseph Post,PINNACLE WEST CAPITAL CORP,1075,10739,2007,pinnacle west capital
"Miles D. White, M.B.A.",ABBOTT LABORATORIES,1078,14300,2007,abbott laboratories
Hector de Jesus Ruiz,ADVANCED MICRO DEVICES,1161,20918,2007,advanced micro devices
Ronald Allan Williams,AETNA INC,1177,14660,2007,aetna inc
"John P. Jones, III",AIR PRODUCTS & CHEMICALS INC,1209,12121,2007,air products & chemicals
William S. Ayer,ALASKA AIR GROUP INC,1230,14871,2007,alaska air group
Paul J. Evanson,ALLEGHENY ENERGY INC,1279,5899,2007,allegheny energy
David M. Cote,HONEYWELL INTERNATIONAL INC,1300,20931,2007,honeywell international
Scott T. Ford,ALLTEL CORP,1318,12422,2007,alltel corp
David J. Aldrich,SKYWORKS SOLUTIONS INC,1327,17260,2007,skyworks solutions
Alain Juan Pablo Belda,ALCOA INC,1356,1510,2007,alcoa inc
John B. Hess,HESS CORP,1380,2132,2007,hess corp
Norman H. Wesley,BEAM INC,1408,18590,2007, beam inc
Michael G. Morris,AMERICAN ELECTRIC POWER CO,1440,5366,2007,american electric power
Kenneth I. Chenault,AMERICAN EXPRESS CO,1447,2157,2007,american express
Daniel Paul Amos,AFLAC INC,1449,13,2007,aflac inc
Robert Alan Essner,WYETH,1478,14543,2007,wyeth
Martin John Sullivan,AMERICAN INTERNATIONAL GROUP,1487,26441,2007,american international group
Frederic M. Poses,TRANE INC,1567,1768,2007,trane inc
Frank S. Hermance,AMETEK INC,1598,4252,2007,ametek inc
Kevin W. Sharer,AMGEN INC,1602,1542,2007,amgen inc
Jerald G. Fishman,ANALOG DEVICES,1632,3976,2007,analog devices
Eugene M. Isenberg,NABORS INDUSTRIES LTD,1661,4037,2007,nabors industries
"August A. Busch, IV",ANHEUSER-BUSCH COS INC,1663,23054,2007,anheuser-buschs
G. Steven Farris,APACHE CORP,1678,3994,2007,apache corp
Steven P. Jobs,APPLE INC,1690,14302,2007,apple inc
Michael R. Splinter,APPLIED MATERIALS INC,1704,25876,2007,applied materials
Patricia A. Woertz,ARCHER-DANIELS-MIDLAND CO,1722,24742,2007,archer-daniels-midland
James J. OBrien,ASHLAND GLOBAL HOLDINGS INC,1794,20400,2007,ashland global holdings
"John William Somerhalder, II",SOUTHERN CO GAS,1837,12438,2007,southern gas
Carl Bass,AUTODESK INC,1878,24798,2007,autodesk inc
Gary C. Butler,AUTOMATIC DATA PROCESSING,1891,2385,2007,automatic data processing
Dean A. Scarborough,AVERY DENNISON CORP,1913,18509,2007,avery dennison
Andrea Jung,AVON PRODUCTS,1920,14570,2007,avon products
Chadwick C. Deaton,BAKER HUGHES INC,1976,24905,2007,baker hughes
Roy David Hoover,BALL CORP,1988,10850,2007,ball corp
"Mayo A. Shattuck, III",CONSTELLATION ENERGY GRP INC,1995,6462,2007,constellation energy grp
Robert P. Kelly,BANK OF NEW YORK MELLON CORP,2019,24419,2007,bank of new york mellon
Timothy M. Ring,BARD (C.R.) INC,2044,10441,2007,bard (c.r.) inc
"Robert L. Parkinson, Jr.",BAXTER INTERNATIONAL INC,2086,14299,2007,baxter international
Edward J. Ludwig,BECTON DICKINSON & CO,2111,10110,2007,becton dickinson &
