CEO,Company,YEAR,Handle,Twitter_Descr,verified,validated
Klaus-Christian Kleinfeld,ALCOA INC,2008,Siemens,"Innovations that improve life. For business, for society and for each individual. 
Imprint: https://t.co/yEEDigxrnM",TRUE,0
Klaus-Christian Kleinfeld,ALCOA INC,2008,JoeKaeser,"One of 295.000 dedicated Siemens employees worldwide. Passionate about innovation, inclusive capitalism & transformation of business & society. Enjoy 70s music.",TRUE,
Timothy D. Cook,APPLE INC,2012,tim_cook,"Apple CEO  Auburn 🏀 🏈 Duke 🏀 National Parks 🏞️ “Life's most persistent and urgent question is, 'What are you doing for others?'” - MLK. he/him",TRUE,
Carlos A. Rodriguez,AUTOMATIC DATA PROCESSING,2012,crodriguezap,"The Associated Press writer based in Mexico City, hoops junkie with passion for anything sports related",TRUE,
Carlos A. Rodriguez,AUTOMATIC DATA PROCESSING,2012,MrFrankieAR,💅🏽 Carlos sometimes. Frankie always.,TRUE,
Warren E. Buffett,BERKSHIRE HATHAWAY,2007,WarrenBuffett,Chairman and CEO of Berkshire Hathaway,TRUE,
Mark A. Ernst,BLOCK H & R INC,2007,Mark_Weinberger,"Former Global Chairman & CEO of leading prof services org, helping solve pressing challenges. Intl tax, global economy & inclusive growth. #BetterWorkingWorld",TRUE,
Brian L. Roberts,COMCAST CORP,2007,BKRoberts,"CFO @Lyft. Please don't complain about Comcast... not that Brian Roberts! While I can't fix your cable, if you had a bad ride DM me. 
he/him",TRUE,
"H. Lawrence Culp, Jr.",DANAHER CORP,2007,larryculpjr,"Chairman & CEO of @GeneralElectric, Former CEO and President of Danaher Corporation.",TRUE,
Robert J. Ulrich,TARGET CORP,2007,RobertJUlrich,Casting Director for @GLEEonFOX and @TheGleeProject.,TRUE,
Robert A. Iger,DISNEY (WALT) CO,2007,RobertIger,Executive Chairman The Walt Disney Company,TRUE,
Ellen J. Kullman,DU PONT (E I) DE NEMOURS,2009,EllenKullman,@Carbon President and CEO. Delaware native in Silicon Valley #CraftedByCarbon,TRUE,
Craig Arnold,EATON CORP PLC,2016,thecraigarnold,"Canadian. Actor. Eh. Equality, happiness and sustainability for all ✌️🏳️‍🌈❤️🌎",TRUE,
