Company,Handle,Twitter_Descr,verified
AMERICAN AIRLINES GROUP INC,AmericanAir,"Official Twitter for the world’s largest airline. We’re here for you 24/7. For more about us or a formal response, visit https://t.co/6GJxuwPp4T.",True
ABBOTT LABORATORIES,AbbottNews,"This is technology at its most personal, to help you live your best, healthiest life. #lifetothefullest https://t.co/6IcXSYxpuw",True
ADVANCED MICRO DEVICES,AMD,Official corporate news about the AMD technology enabling today and inspiring tomorrow.,True
ADVANCED MICRO DEVICES,AMDGaming,"Dedicated to gamers, esports, developers & the gaming industry for the best possible PC gaming experience.",True
ADVANCED MICRO DEVICES,AMD_UK,"The latest updates from AMD UK – leading the next era of vivid digital experiences, graphics, embedded and server technology",True
AETNA INC,Aetna,"Every day, as part of @CVSHealth, we join you to help you on your path to better health🏃‍♀️🚴‍♂️🏊‍♂️ #CommunityHeart",True
AIR PRODUCTS & CHEMICALS INC,airproducts,"Industry-leading company of 19,000+ dedicated employees innovating toward a more #sustainable future with #industrialgas solutions & cutting-edge technology.",True
HONEYWELL INTERNATIONAL INC,honeywell,"At #Honeywell, we're transforming the way the world works. #futureshaper",True
ALCOA INC,Alcoa,"Alcoa is a global industry leader in bauxite, alumina and aluminum products, with a strong portfolio of cast and rolled products and substantial energy assets.",True
AMERICAN EXPRESS CO,AmericanExpress,"Follow Amex's Erica (^E) & Alicia (^A) for insider news, access & more.",True
AMERICAN EXPRESS CO,AmexUK,"Follow the Amex UK team for insider news, offers & more. We’re also at @AskAmexUK for any help you may need.",True
AMERICAN EXPRESS CO,AskAmex,"Amex Customer Care, at your service! We’re here M-F, 9am-10pm ET. Remember: Please don’t tweet personal information. After hours? Visit https://t.co/mOVXblqhkU",True
AMERICAN EXPRESS CO,KabbageInc,"An American Express company, empowering #SmallBusiness owners to manage their #CashFlow. For PPP assistance, please visit https://t.co/kIWYzbdA3B (@KServicing)",True
