GVKEY,Company,Handle,Twitter_Descr,verified
1045,AMERICAN AIRLINES GROUP INC,americanair,"Official Twitter for the world’s largest airline. We’re here for you 24/7. For more about us or a formal response, visit https://t.co/6GJxuwPp4T.",True
1078,ABBOTT LABORATORIES,abbottglobal,"The @AbbottGlobal Twitter page was discontinued on Nov 30, 2020. Follow @AbbottNews for all news and updates moving forward.
TOU: https://t.co/uV6KKpRHLr",True
1161,ADVANCED MICRO DEVICES,amd,Official corporate news about the AMD technology enabling today and inspiring tomorrow.,True
1209,AIR PRODUCTS & CHEMICALS INC,AirProducts,"Industry-leading company of 19,000+ dedicated employees innovating toward a more #sustainable future with #industrialgas solutions & cutting-edge technology.",True
1230,ALASKA AIR GROUP INC,alaskaair,We’ve now reached tweeting altitude. ✈️ Our Social Care team is here 24/7. For a formal response: https://t.co/gu9m8EggyQ #iFlyAlaska,True
1300,HONEYWELL INTERNATIONAL INC,honeywell,"At #Honeywell, we're transforming the way the world works. #futureshaper",True
1356,ALCOA INC,Alcoa,"Alcoa is a global industry leader in bauxite, alumina and aluminum products, with a strong portfolio of cast and rolled products and substantial energy assets.",True
1380,HESS CORP,realsandrahess,"Actor, wife, mom to 4 amazing furries and wanna be gourmet chef. Mortal Kombat, Pensacola Wings Of Gold, Highlander, Nick Fury Agent Of Shield ....",True
1408,BEAM INC,beamng,Bringing soft-body physics to the forefront,True
1447,AMERICAN EXPRESS CO,americanexpress,"Follow Amex's Erica (^E) & Alicia (^A) for insider news, access & more.",True
1449,AFLAC INC,Aflac,"Ready to talk coverage? Send us a Tweet.
Need assistance? @AflacHelpDesk
https://t.co/0Frz1xBTI2",True
1487,AMERICAN INTERNATIONAL GROUP,AIGinsurance,"Global insurance company committed to preparing our clients for what's next. For service, tweet us! 👋  Our Community Guidelines: https://t.co/7bcUQ3GZsV",True
1602,AMGEN INC,amgen,Patients. They're why we develop and manufacture innovative human therapeutics to treat serious diseases. #WeareBiotech Community Guidelines: https://t.co/fo1laM9PxA,True
1663,ANHEUSER-BUSCH COS INC,AnheuserBusch,"America’s best-loved brewery, making stronger communities & meaningful moments. 🍺 Enjoy responsibly. Content & sharing for 21+. ©2020 https://t.co/Lf2DcpQ9ft",True
1878,AUTODESK INC,autodesk,"3D design, engineering, and entertainment software and services. 
Have a question? Visit our community forums: https://t.co/ADDNuPre2j",True
1913,AVERY DENNISON CORP,AveryDennison,We are a global materials science company specializing in the design and manufacture of a wide variety of labeling and functional materials.,True
1920,AVON PRODUCTS,AvonInsider,"Make Life Beautiful.
#NoAnimalTesting 🐇",True
2136,VERIZON COMMUNICATIONS INC,verizon,The 5G America's been waiting for. #5GBuiltRight,True
2154,BEMIS CO INC,maxbemis,Tweets by Management               https://t.co/TVQCsBDrQN,True
2176,BERKSHIRE HATHAWAY,WarrenBuffett,Chairman and CEO of Berkshire Hathaway,True
2184,BEST BUY CO INC,bestbuy,Let’s talk about what’s possible. Share your best tech with the world using @BestBuy.   Contact @BestBuySupport with customer service questions.,True
2255,BLACK & DECKER CORP,blackanddecker,Tackling that to-do list? You Got This. BLACK+DECKER helps you keep up with life.,True
2269,BLOCK H & R INC,hrblock,"Tax prep doesn’t have to be hard. At H&R Block, we have many filing options to make it easy for you. Professional tax prep with or without the office visit.",True
2285,BOEING CO,boeing,"Boeing has a tradition of aerospace leadership and innovation, and is committed to investing in the communities where our people work and live worldwide.",True
2290,OFFICEMAX INC,OfficeMax,"For all customer inquiries, please go to @officedepot.",True
2312,ROBERT HALF INTL INC,roberthalf,Robert Half is the world’s first and largest specialized staffing firm.,True
2403,BRISTOL-MYERS SQUIBB CO,bmsnews,Global Specialty Care BioPharma,True
2435,BROWN FORMAN CORP,BrownForman,Please Drink Responsibly. Legal drinking age only. Don't share with anyone underage. https://t.co/bgrPwujH2G ©2021 Brown-Forman. All rights reserved.,True
2547,CIGNA CORP,cigna,"Community that highlights what Cigna is doing around the globe to help improve the health, well-being, and peace of mind of those we serve.",True
2663,CAMPBELL SOUP CO,CampbellSoupCo,We're proud of what we bring to the table: Real food that matters for life's moments. Visit @CampbellCares for help.,True
2710,CONSTELLATION BRANDS,cbrands,Constellation is a leading international producer and marketer of high-end beer and premium wine and spirits brands that are #WorthReachingFor.,True
2751,CARDINAL HEALTH INC,cardinalhealth,"The news handle for Cardinal Health on Twitter, providing up-to-date info and announcements from the public relations team. Twitter disclaimer below.",True
2817,CATERPILLAR INC,caterpillarinc,"For more than 90 years, Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent.",True
2884,CENTURYLINK INC,centurylink,Transforming lives and businesses through innovative technology solutions. Follow along. Customer support available @CenturyLinkHelp.,True
2968,JPMORGAN CHASE & CO,jpmorgan,"Official account for the latest company news and updates from Asset Management, Private Banking, Commercial Banking, and the Corporate and Investment Bank.",True
2991,CHEVRON CORP,chevron,"our greatest resource is our people. their ingenuity & creativity have met the complex challenges of energy’s past. together, we’ll take on the future.",True
3024,CHUBB CORP,chubb,Chubb is the world’s largest publicly traded property and casualty insurer.,True
3105,IHEARTMEDIA INC,iheartmedia,"iHeartMedia, Inc. is one of the leading global media and entertainment companies. For more company information visit http://t.co/34j8b9xuRq.",True
3121,CLOROX CO/DE,clorox,"Clean is just the beginning. 
What comes next is everything.",True
3144,COCA-COLA CO,CocaCola,This holiday season #ShareACoke with the people who lift you up all year long.,True
3170,COLGATE-PALMOLIVE CO,CP_News,Welcome to the official home for Colgate-Palmolive news. #WeAreColgate,True
3221,AON PLC,Aon_plc,"Aon plc (NYSE:AON) is a leading global professional services firm providing a broad range of #risk, #retirement and #health solutions.",True
3226,COMCAST CORP,comcast,Shaping the future at the intersection of media & technology.,True
3243,CITIGROUP INC,citi,Serving as a trusted partner to our clients by responsibly providing financial services that enable growth & economic progress. Customer service: @AskCiti,True
3336,DXC TECHNOLOGY CO,DXCTechnology,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True
3362,CONAGRA BRANDS INC,conagrabrands,"Conagra Brands is one of North America’s leading branded food companies. To view our portfolio of brands, visit https://t.co/UsA2WOi5zZ.",True
3413,CONSOLIDATED EDISON INC,conedison,Official Twitter handle for Con Edison. For gas odors leave area & call 911. Report power issues at https://t.co/lVVABPWFeG. Contact us at 1-800-75-CONED.,True
3505,MOLSON COORS BEVERAGE CO,molsoncoors,"Brewing beverages that unite people for more than two centuries.

Only for 21+. Drink Responsibly. PRIV: https://t.co/KfLPjXDQXM T&C: https://t.co/nlJx8PedPo. 800-645-5376.",True
3532,CORNING INC,corning,"Official Twitter of Corning Incorporated; materials science innovator & leader in specialty glass, ceramics & optical physics. Terms: https://t.co/UgtAnA12pG",True
3650,CUMMINS INC,Cummins,"We live in an Always On world that stands at the gateway of a more sustainable future. At Cummins, we're inventing the technology that will take us there.",True
3835,DEERE & CO,johndeere,Nothing runs like a Deere,True
3851,DELTA AIR LINES INC,delta,"Caring for you is our top priority. For the most up to date information on how we’re responding to COVID-19, visit: https://t.co/l5WcWVfLXl",True
3897,DTE ENERGY CO,dte_energy,Providing breaking news and tips from Michigan’s largest electric and gas company. Got a question? Message us from 8am-11pm seven days a week.,True
3905,ADTALEM GLOBAL EDUCATION INC,adtalemglobal,"We empower students and professionals to achieve their goals, find success and make inspiring contributions to our global community.",True
3964,DILLARDS INC  -CL A,Dillards,Official Dillard's Twitter,True
4029,DOMINION ENERGY INC,dominionenergy,"Sharing the latest news, info & updates about Dominion Energy. Customers can report outages at https://t.co/PplRNyVKiK. If you suspect an emergency, call 911.",True
